Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,MinerRevenue,USDT_marketcap,USDT_price,BTC_marketcap,BTC_price,USDC_marketcap,USDC_price,USDT_supply,forward_1_day_bitstamp_return,last_1_days_USDT_supply_increase,1_day_MinerRevenue,forward_7_day_bitstamp_return,last_7_days_USDT_supply_increase,7_day_MinerRevenue,forward_14_day_bitstamp_return,last_14_days_USDT_supply_increase,14_day_MinerRevenue,forward_21_day_bitstamp_return,last_21_days_USDT_supply_increase,21_day_MinerRevenue,forward_30_day_bitstamp_return,last_30_days_USDT_supply_increase,30_day_MinerRevenue,forward_45_day_bitstamp_return,last_45_days_USDT_supply_increase,45_day_MinerRevenue,forward_60_day_bitstamp_return,last_60_days_USDT_supply_increase,60_day_MinerRevenue,forward_180_day_bitstamp_return,last_180_days_USDT_supply_increase,180_day_MinerRevenue,forward_365_day_bitstamp_return,last_365_days_USDT_supply_increase,365_day_MinerRevenue,mtgox,coinbase/bitfinex,bitfinex-coinbase,google trends,google trends isPartial
2010-10-04,,,,,,,,,,477.0000000594,,,,,,,,,,477.0000000594001,,,3465.120932122199,,,7836.122132128199,,,13521.1335083394,,,18051.149708387395,,,27575.7641084974,,,29210.373308497397,,,,,,,0.0613,,,,
2010-10-05,,,,,,,,,,378.0,,,,,,,,,,378.0000000000001,,,2931.034532122199,,,7692.122132122199,,,13290.132932128201,,,17934.149108387395,,,27348.2641084974,,,29588.373308497397,,,,,,,0.0614,,,,
2010-10-06,,,,,,,,,,519.0000000654001,,,,,,,,,,519.0000000654002,,,2952.034532187599,,,7689.1221321876,,,13048.632932193601,,,17967.149108446796,,,27125.2641085628,,,30107.373308562797,,,,,,,0.06281,,,,
2010-10-07,,,,,,,,,,486.0,,,,,,,,,,486.0000000000001,,,3000.034532187599,,,7467.1221321876,,,11832.132932193601,,,17919.149108446796,,,26858.7641085628,,,30593.373308562797,,,,,,,0.067,,,,
2010-10-08,,,,,,,,,,546.0,,,,,,,,,,546.0,,,3078.0009321875987,,,7323.1221321876,,,11736.132932193601,,,17952.149108422796,,,26645.208108562798,,,31139.373308562797,,,,,,,0.08685,,,,
2010-10-09,,,,,,,,,,790.0,,,,,,,,,,790.0,,,3568.000466099799,,,7492.1221321876,,,11815.122132193601,,,18331.142508416797,,,26665.208108562798,,,31929.373308562797,,,,,,,0.0938,,,,
2010-10-10,,,,,,,,,,1080.0,,,,,,,,,,1080.0,,,4276.000000124798,,,7951.1221321876,,,12250.122132193601,,,18862.142508410798,,,26737.208108562798,,,33009.3733085628,,,,,,,0.0965,,,0.0,False
2010-10-11,,,,,,,,,,966.0000001308,,,,,,,,,,966.0000001307999,,,4765.000000196198,,,8230.1209323184,,,12601.1221323244,,,19336.142508541598,,,27104.708108693598,,,33975.3733086936,,,,,,,0.095,,,,
2010-10-12,,,,,,,,,,978.0,,,,,,,,,,977.9999999999999,,,5365.000000196198,,,8296.0345323184,,,13057.1221323184,,,19783.1335085416,,,27487.708108616596,,,34953.3733086936,,,,,,,0.0949,,,,
2010-10-13,,,,,,,,,,890.035,,,,,,,,,,890.0349999999999,,,5736.035000130798,,,8688.069532318399,,,13425.1571323184,,,20154.1685085356,,,27879.728708616596,,,35843.4083086936,,,,,,,0.105,,,,
2010-10-14,,,,,,,,,,1035.0,,,,,,,,,,1035.0,,,6285.035000130798,,,9285.069532318399,,,13752.1571323184,,,20580.1679323244,,,28379.203508616596,,,36878.4083086936,,,,,,,0.102,,,,
2010-10-15,,,,,,,,,,1006.5,,,,,,,,,,1006.5,,,6745.535000130798,,,9823.535932318398,,,14068.6571323184,,,20826.1679323244,,,28741.689508595595,,,37884.9083086936,,,,,,,0.105,,,,
